Pitagora di Reggio,96421314,
Dario Bellezza,36928248,
Papa Giovanni III,232204901,
Mario Cipollini,31380604,
Jerzy Kawalerowicz,24787569,
Rasmus Lerdorf,64172717,
Fred Huntley,13775448,
Thomas Barlow (medico),51683416,
Antonio Bajamonti,76437586,
Edward Rutherfurd,34666,
Francis Gruber,55794266,
Anna Chancellor,164240574,
Caterina di Lancaster,65073483,
George Hilton,78463352,
Giovanni Colombo,32102657,
Donovan,64567120,
Walther Nernst,44372928,
Alfred Schild,109949852,
Angelo Debarre,119977709,
Sam Kieth,19734963,
Klas Pontus Arnoldson,15568385,
Moshe Safdie,90776692,
Guido Guinizelli,64045504,
Calvert Watkins,17742381,
Fritz Todt,22938000,
Don Giovanni d'Austria (1629-1679),50611591,
William Schwenck Gilbert,22191447,
Tory Belleci,107422636,
Yumi Adachi,96813383,
"Thomas Howard, I conte di Suffolk",66339156,
Olindo Guerrini,41938302,
Giulio Aleni,5738396,
Knud Kristensen,226188874,
Keith R. Kernspecht,62159531,
Jacqueline Bisset,19864606,
Seth MacFarlane,66765233,
Louis Saint-Laurent,42942388,
Willi Forst,61756372,
Joe Eszterhas,64005271,
John Hamburg,17429444,
Brandon Call,34647536,
Ernesto I di Hohenlohe-Langenburg,81771617,
Stefan Banach,4992585,
Giorgio Bassani,17218707,IT\ICCU\CFIV\009156
Frederick Soddy,5014335,
Ray Ventura,27253506,
Bill Nelson,1546151,
W.S. Merwin,110923132,
Alejandro Fuentes,175980317,
Marc Blucas,85869102,
Giovanni II d'Ungheria,53508613,
Otokar Fischer,46774067,
Jean Penzer,81485335,
Maria Anna Sofia di Sassonia,20472653,
Katie Leclerc,221075021,
Pervez Musharraf,29069765,
Adam Petty,29198281,
Joan Chen,39570906,
Anneliese Michel,74645279,
Francesc Valls,32116835,
Gaetano Crivelli,37180638,
Jake White,38845951,
Consuelo Vanderbilt,79553091,
Logan Huffman,160726145,
Lisa Kleypas,79448885,
Alphonse Henri d'Hautpoul,66599883,
Gustav von Kahr,50036175,
Michael Ballhaus,44496035,
"Charlotte Lee, contessa di Lichfield",96813163,
Girolamo della Robbia,37801418,
Abbas Attar,7385886,
Cee Lo Green,75958032,
Johann Michael Bach,69114714,
Michel-Jean Amelot de Gournay,40106654,
Marla English,90683352,
George Jeffreys,44291859,
Jeanne Balibar,164414902,
Andrew Wiles,62370630,
Kevin Clash,38695878,
Marion Tinsley,,
Clementina de Jesus,27267057,
Anna Diamantopoulou,102653693,
Keith Andes,27275343,
Mauro Antonio Tesi,949880,
Mary Kay Place,45973056,
Margaret Woffington,45178484,
Georges Auric,76408949,
Traiano Boccalini,14834950,
David Gallagher,32207662,
Michael Winslow,44250452,
Christian Marclay,72198810,
Dan Dailey,122270450,
Gaetano Previati,,
Vittorio Ambrosio,8295529,
Pietro Scalvini,88143434,
Philipp Nicolai,32193016,
Mason Gamble,222859729,
Huang Taiji,53079614,
Helen Barolini,59188856,
Phoumi Vongvichit,252363243,
Juan Eugenio Hartzenbusch,71432575,
Heather Stephens,133176955,
Jean Gailhac,37079158,
Christian Thomasius,61657051,
Manolis Anagnostakis,71570315,
Giuseppe Prezzolini,109649570,IT\ICCU\CFIV\004520
Henry Every,60463879,
Max Slevogt,71542179,
Stuart Lancaster (attore),222864904,
Alice Voinescu,9970102,
Pierre de Lancre,29536130,
Gaspard Dughet,74122123,
George Brecht,32144067,
Richard Riehle,53847912,
Elbert Lee Trinkle,31062231,
Gian Giacomo Caprotti,59881627,
Alexander Emanuel Agassiz,5016739,
Gabby Gabreski,94027394,
Christoph Ernst Friedrich Weyse,12495676,
Jamie Babbit,103895087,
Maria Ermolova,36911982,
Louise Dresser,42050064,
Amos Eaton,15547874,
Zara Cully,34025162,
Arrigo Caterino Davila,76457126,
Darryl McDaniels,77211697,
Julius Axelrod,65098547,
Autari,90823517,
Alessandra di Sassonia-Altenburg,28551567,
Martino Longhi il vecchio,5798555,
Andrew Wood,105480653,
Mareva Galanter,12597807,
Charles Lock Eastlake,61676654,
Juliet Stevenson,42041205,
Adam Collis,6746992,
Charles Edwin Wilbour,33420817,
Leslie Cheung,117374826,
Melody (cantante spagnola),25436103,
Dennis William Sciama,817950,
Maximilian von Weichs,64778555,
Juhani Aho,22137546,
Edmond Hoyle,27288696,
Trini Lopez,12491952,
Diana Spencer,107032638,
Lorenzo Somis,,
"Henri-Jacques-Guillaume Clarke, duca di Feltre",69094194,
Bernardo I di Sassonia-Meiningen,64819927,
Michael Ballack,123916448,
Sophie Bennett,92938084,
Mesut Yilmaz,13116900,
Mie Hama,29742774,
Rafi Gavron,96842132,
Paula Hawkins,1456839,
Papa Ormisda,71750231,
Adam Goldstein,120212118,
Douglass Montgomery,38404636,
Bahi Ladgham,7281435,
Ludwig Senfl,19866990,
Pam Shriver,93687518,
Ben Mendelsohn,44584919,
Carol Channing,42029623,
Nino Taranto,15018408,
James Joseph Sylvester,71473374,
Mustafa Denizli,50909315,
M.L. Carr,11391563,
Johann Deisenhofer,81232378,
Yuko Tsushima,108419965,
Christian de Duve,108200338,
Marie-Nicole Lemieux,85100351,
Ferdinand Walsin Esterhazy,9883396,
DJ Premier,233158714,
Uriel da Costa,90632462,
Franz Hessel,44317855,
Poul La Cour,12317845,
Giselle Blondet,58804103,
Christopher Lloyd (sceneggiatore),171822944,
Robin Shou,56200097,
Clemente Bondi,71733171,
Andrea da Ratisbona,5082639,
Germana de Foix,33299934,
Jana Kirschner,84558542,
Daniel Wallace,118446265,
Tat'jana Samojlova,79172133,
Mohammed Daud Khan,48810736,
Jacques Diouf,232508484,
Salomon Morel,52563961,
Giorgia Moll,95119511,
Anson Williams,27275239,
Sarah Orne Jewett,44336104,
Alber Coady Wedemeyer,37987088,
Abba Eban,10429,
Lorenzo Lippi,7486654,IT\ICCU\SBLV\191000
Francesco Spoto,227426915,
Baran Kosari,46248866,
James Patrick Stuart,107381825,
Tom Perrotta,99211506,
Isabelle Mir,198749117,
Grigorij Margulis,24699676,
Perry Benson,120601121,
Claude Le Jeune,105871811,
Yomei,46583562,
Luciano Pedro Mendes de Almeida,28449046,
Martin Brodeur,41108092,
Lina Romay,87074761,
Wollert Konow (Primo Ministro della Norvegia),69982579,
Samantha Morton,14984077,
Cavallo Pazzo,57406050,
Henry Bean,24807138,
Kristinia DeBarge,96920327,
Charlie Siringo,52970035,
